web-scraper-order,web-scraper-start-url,author,title,date,content,rating,label
1580573516-400,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Amazon Customer,Outstanding phone but for this massive lapse!!,Reviewed in India on 23 November 2019,"I had bought the Mi Note 8 Pro for the first time on Nov 6, 2019. However, having set up the device I started facing issues with the headphone jack. Every single time I connected any Aux device to the phone, the connection was intermittently interrupted and the music/media would automatically pause for that reason, thus creating issues with continuous playback.
Pursuant to the same I got a replacement done and received a new device. However I am still facing the same connectivity issues with the Aux jack with no immediate remedy in sight. It seems most probably a software issue, however quite disappointing to have to face this on a new Mi device. Perhaps and hopefully the same may get remedied with future updates.

Coming to the rest of the phone, it is simply great for the price bracket that it belongs to. Would have given a top rating had I not faced the said issue over and over again.",3.0 out of 5 stars,quality
1580573485-298,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Chintan,MI Team - Pl support to resolve the worst ever battery phone MI Note 8 Pro,Reviewed in India on 17 November 2019,"Worst ever battery life in spite of having 4500mah battery capacity - from years using Xiaomi MI Note Edition phones but never had this experience in past...

If somebody can Xiomi can contact me I can show that what exact issue I am having...

I called Amazon team for reporting this issue but they told me that I am calling us exact immediate day of replacement over day - so we can't consider any concerns from you, which is also not acceptable...

Rest all is good but this the worst ever point of this phone is worst batter life!",1.0 out of 5 stars,quality
1580574630-4293,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Gax009,Good for purchase,Reviewed in India on 6 November 2019,Nice mobile for gaming..,5.0 out of 5 stars,quality
1580573853-1590,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Amazon Customer,Budget buy needs improvement by updates,Reviewed in India on 8 November 2019,"A good package phone, but due to improper calibration of camera software, photos look over sharpened, looks more realistic ( I mean dull look), more warmer temperature....may be improves by future updates....also the lcd screen may be due to hdr feel more sharpened....",3.0 out of 5 stars,quality
1580574517-3909,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,kanishk maurya,Great phone,Reviewed in India on 23 November 2019,"All features are good battery life is great if u charge 1time u can use continuously 6 to 7 hr
Camera is also good",4.0 out of 5 stars,quality
1580574695-4507,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Chandan kumar,Amazing phone,Reviewed in India on 20 December 2019,Good looking,5.0 out of 5 stars,quality
1580574431-3597,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Royal king,awesome,Reviewed in India on 20 December 2019,Very nice,5.0 out of 5 stars,quality
1580573840-1535,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,loukikgawde,Superb phone under 15000,Reviewed in India on 16 November 2019,Superb product it feel like classy I have  green colour and I give me a very decent and classy look downloading speed and camera is excellent and phone is very fast and accurate face unlock and finger print sensor is also too fast it open within sec,5.0 out of 5 stars,quality
1580574464-3720,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Chirag Arora,Battery,Reviewed in India on 21 January 2020,"Everything is excellent except the battery life!
Though it is having 4500 mash battery but then also battery is not up to the mark!",5.0 out of 5 stars,quality
1580574484-3781,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Resume R,Defective screen,Reviewed in India on 29 January 2020,Received a defective phone and screen was flickering. Would expect quick replacement for this phone,5.0 out of 5 stars,quality
1580574043-2241,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Annand Kumar,Phone battery life is not nice,Reviewed in India on 22 December 2019,"Battery life is very bad , I'm not using my phone that much than also phone battery till evening 16%like that . Battery is very bad. And screen is also not that much nice, under sunlight screen is not appearing",1.0 out of 5 stars,quality
1580574331-3245,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Mohanraj,Terrific Mobie,Reviewed in India on 15 December 2019,"Good budget mobile for this price range. Camera quality is better.
Picture is nice.
Battery life is so good.
Fingerprint is best.",5.0 out of 5 stars,quality
1580573675-955,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Arum Vermin,Awesome Phone with Brilliant Camera & Superb for games,Reviewed in India on 17 November 2019,"Awesome Phone with Brilliant Camera
Camera : 5/5 (Manual Camera is Superb)
Battery : 5/5
Display : 4.5/5
Games : 5/5 (Smooth play on PUBG on HDR)",5.0 out of 5 stars,quality
1580573923-1835,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Rajneesh,Great product of the year,Reviewed in India on 7 January 2020,"Excellent phone.... First of all
Performance is amazing    dam smooth
Camera quality awesome
Sound is better than others Redmi phones
Design is stunning
18000 . me Flagship  takkar dene wala phone
Battery is ok",5.0 out of 5 stars,quality
1580573579-620,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Amazon Customer,"Though, it has 64MP rear camera and 20MP front camera; but picture is worse than Redmi Note 4.",Reviewed in India on 6 December 2019,"Though, it has 64MP rear camera and 20MP front camera; but picture is worse than Redmi Note 4. Too much heavy.
Not doubt, looks very nice. Charger is quite faster.

In totality, it is not a good mobile to my satisfaction.",3.0 out of 5 stars,quality
1580574320-3205,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Amazon Customer,Redmi note 8 Pro is not better what we thought seeing the features,Reviewed in India on 19 November 2019,The camera is average....it is not like 64 mp,4.0 out of 5 stars,quality
1580574535-3967,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Ansari,I face some issues...,Reviewed in India on 29 November 2019,"1) notification light is not working...
2) phone unlock with my face & my father's face too.
Mi upgrade this feature",2.0 out of 5 stars,quality
1580574610-4227,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,roshan k.,Average in performance,Reviewed in India on 14 December 2019,Everything is fine but not as 64 mp camera... Should have S.amoled display...,4.0 out of 5 stars,quality
1580573593-666,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Nikita,Worst camera quality,Reviewed in India on 30 November 2019,Worst camera quality ever seen in any Redmi phone. It doesn't support WhatsApp. Every time I install WhatsApp it says install the latest version of WhatsApp. It's totally waste of money. My earlier Redmi note 4 have better video quality then this phone. As the phone suggest that it supports gaming it hangs while playing pubg. Video is to blur. Bad resolution.,1.0 out of 5 stars,quality
1580574049-2261,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,RDx,Best phone under 13k,Reviewed in India on 25 January 2020,Good one at this price range,4.0 out of 5 stars,quality
1580574073-2348,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,subrata paul,After 2 months,Reviewed in India on 20 December 2019,"Everything is ok. Battery 5*, camera 4*, performance 4*, fingerprint 5*, display 4*",4.0 out of 5 stars,quality
1580574833-4973,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Vijayaruban,Awesome product frm MI,Reviewed in India on 3 January 2020,Superb device. Problem with the message has been solved after the update. Camera quality is awesome.,5.0 out of 5 stars,quality
1580573697-1040,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Vishal Doshi,Excellent Phone with minor bugs,Reviewed in India on 23 December 2019,"Build quality nice
Phone looks nice
battery power super
Battery charging super fast
Camera quality way better than previous MI phones
Phone Speed very fast

Bugs
Many times hotspot not detected by laptop or other mobiles
WhatsApp Irritatingly auto rotates

But I am sure these can be resolved in future software updates

Must Buy",5.0 out of 5 stars,quality
1580573680-971,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Amazon Customer,Just an average phone. So many bugs and issues.,Reviewed in India on 22 December 2019,"No HD playback in all streaming apps including Netflix and Amazon prime. Camera quality is just average. Speaker quality is low. Fingerprint sensor is hard to reach. Battery is ok. Overall just an average phone.
Amazon's return policy is very bad.  They don't take any complaint regarding device's performance . They blame it on third party apps and internet speed.",1.0 out of 5 stars,quality
1580573868-1633,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Kartika,Good mobile,Reviewed in India on 29 November 2019,"Product was very good, but Amazon delivery is very worst delivery they have been taken 100/- for fast delivery, But they have given normal delivery.
I was disappoint for this only
Apart from mobile is very good, very good camera, good battery and value of the money.",5.0 out of 5 stars,quality
1580573584-635,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,T V  N S C RAJU,Poor camera quality and poor response from Amazon.,Reviewed in India on 24 January 2020,"The day I received my phone I complained to amazon about the camera quality.  I asked for return or replacement. instead they have appointed one service engineer. as expected he inspected the phone and taken some photos in sun light and closed the case. he further said this phone quality is such. I think I received defective product. issue in camera focusing. especially in low light condition.  detailing missing in photos. getting very poor photos in even average light condition. in day light it is ok.

Front Camera is good not best.
Fingerprint sensor is very responsive and Very Fast. Face unlock is sometimes ok not that much responsive as one plus.

It is taking 2 hours for full charging. It will give one day battery backup easily.",2.0 out of 5 stars,quality
1580574210-2820,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,raj deep,Love this phone,Reviewed in India on 29 November 2019,I just hate the position & size of the fingerprint sensor... Otherwise this phone is best ..,5.0 out of 5 stars,quality
1580574607-4217,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,ANUJ K.,Performance phone,Reviewed in India on 13 November 2019,"Best camera quality with a good selfie camera
An excellent battery back-up
The best Xiaomi phone of all time",5.0 out of 5 stars,quality
1580574824-4949,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,brijendra mishra,Wonderful phone,Reviewed in India on 10 November 2019,Very nice product if you want best camera and cheap budget phone should buy Redmi note 8 pro,5.0 out of 5 stars,quality
1580574428-3583,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Nikhils Panwar,amazing camera ??,Reviewed in India on 7 November 2019,this phone is beast in gaming & captured amazing photo with 64 MP ?? camera look like premium #mi love u #mi #Redmi ????????????????,5.0 out of 5 stars,quality
1580574492-3820,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,harish,64 megapixel quad camera setup review,Reviewed in India on 15 November 2019,This phone is very interesting and this camera is very colourful in this phone pubg gaming is very effectively,5.0 out of 5 stars,quality
1580574155-2626,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,santhosh,best performance,Reviewed in India on 1 January 2020,"there is only one problem, it has a bit more weight",5.0 out of 5 stars,quality
1580573576-604,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Amit kumar,Redmi Note 8! Need some fine tuning ...,Reviewed in India on 27 November 2019,"The speed and screen resolution is too good. The MiUi has made cluster on screen which is a negative for me.
Camera quality is not so good, it's average for such a price point.
Battery life is bit on a down side. Full charge takes around 2 hrs.
Dash charging is available but still not up to the mark.
Overall performance is great ??

I think it's a good bargain at this price !!!",4.0 out of 5 stars,quality
1580574117-2495,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Jayanta Dhali,Very good,Reviewed in India on 30 November 2019,"Well done
very good and lovely",5.0 out of 5 stars,quality
1580573633-801,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Hari prasath,Budget gamer's gift,Reviewed in India on 26 January 2020,"Too smoothly and lovely gaming. Not even a single lag in pubg.

High setting more FPS less heat, 1 day battery life and fantastic camera

If you are a gamer don't even think about any other options.

But display is IPS colours are just ok. Other than this all is good

Pro GAMING...",5.0 out of 5 stars,quality
